Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
301,1,0.150801634192467,1,1,8.21582996883096,0.337924031168222
302,1,0.119720775932074,1,1,8.45690911963971,0.344121864102781
303,1,0.114443072676659,1,1,8.87869422459565,0.347026358507574
304,1,0.115245569050312,1,1,9.17573789553729,0.346849234998226
305,1,0.115941285640001,1,1,9.01235003131924,0.346569171510637
306,1,0.116938733905554,1,1,9.04964892951429,0.349060533158481
307,1,0.114938417226076,1,1,9.13742062766319,0.349949190206826
308,1,0.112845039516687,1,1,9.26021762314731,0.350432784147561
309,1,0.112926012575626,1,1,9.13158040928256,0.349152418747544
310,1,0.114813301116228,1,1,9.19558878510585,0.348184382133186
311,1,0.115691328197718,1,1,9.39067747617863,0.346876860372722
312,1,0.116640089303255,1,1,9.33751831610554,0.346648662574589
313,1,0.117410573512316,1,1,9.24518781091555,0.349599009826779
314,1,0.116975775212049,1,1,9.24438793221927,0.351511747688055
315,1,0.116864889711142,1,1,9.29868536212718,0.353316455744207
316,1,0.1136798787117,1,1,9.54803538780603,0.349960531815886
317,1,0.111243710666895,1,1,9.49829210722699,0.350464832447469
318,1,0.110384533703327,1,1,9.66731386819291,0.358613724336028
319,1,0.109927065968513,1,1,9.44919134921704,0.362411593422294
320,1,0.110901267826557,1,1,9.49661351071507,0.359708354137838
321,1,0.111770921051502,1,1,9.61330264710023,0.357125240825117
322,1,0.108861201554537,1,1,9.5071848124192,0.358650795631111
323,1,0.106187529265881,1,1,9.2736223807356,0.362699341289699
324,1,0.106819431632757,1,1,9.18542987440789,0.360669098682702
325,1,0.107785092145205,1,1,9.30197753957816,0.364219505414367
326,1,0.10670909807086,1,1,9.19696479996455,0.368682272285223
327,1,0.106255049407482,1,1,9.0646515563552,0.366348524726927
328,1,0.108062810897827,1,1,9.12388763373557,0.363504103831947
329,1,0.109425098150969,1,1,9.37274093278674,0.365213473848999
330,1,0.111451389044523,1,1,9.36481017547064,0.367188021801412
331,1,0.108919491767883,1,1,9.20808896463768,0.361130260266364
332,1,0.106053299456835,1,1,9.23631980119704,0.365750086829066
333,1,0.103798422366381,1,1,9.36832279985675,0.367407603785396
